text,intent
Hey how are you?,ham
Win a free iPhone now!!!,spam
Are we meeting today?,ham
Congratulations! You’ve won $1000,spam
Call me when you arrive,ham
Exclusive offer just for you,spam
Let's study together later,ham
Click here to claim your prize,spam
Can you help me with homework?,ham
Limited time offer!!!,spam
Good morning bro,ham
You have been selected for a reward,spam
What are you doing?,ham
Earn money fast online!!!,spam
Let's go to church tomorrow,ham
Free gift card waiting for you,spam
Did you eat?,ham
Act now to win big prizes,spam
I will call you later,ham
Cheap loans available instantly,spam
See you in class,ham
Get rich quick scheme!!!,spam
How was your day?,ham
You won a lottery,spam
Come to my house,ham
Urgent! Update your account now,spam
Let’s code together,ham
Claim your free bonus now,spam
Where are you?,ham
Double your income fast,spam
I’m tired today,ham
Special promotion just for you,spam
Do your assignment,ham
You have a new reward waiting,spam
Are you free today?,ham
Win cash instantly!!!,spam
Let’s go out,ham
Lowest prices guaranteed,spam
I miss you,ham
Exclusive deal ends today,spam
Study hard bro,ham
Get free data now,spam
Call your mom,ham
You’ve been chosen for a prize,spam
Let’s practice Chinese,ham
Claim your reward now,spam
Are you okay?,ham
Free subscription for you,spam
Meet me at school,ham
Win big today!!!,spam
I will help you,ham
Click to get free money,spam
What time is it?,ham
Limited offer,spam
Let’s revise together,ham
Earn cash easily,spam
I’m going to church,ham
Get your bonus now,spam
Did you finish your work?,ham
Win a brand new phone,spam
Come quickly,ham
Cheap internet deals,spam
Let’s train karate,ham
You are selected for reward,spam
Where is your book?,ham
Free access granted,spam
I am studying,ham
Act fast to win,spam
Let’s build a chatbot,ham
You have won big,spam
I’m hungry,ham
Click now for prize,spam
Do you understand?,ham
Earn money today,spam
Let’s go home,ham
Exclusive bonus waiting,spam
How is school?,ham
Get rich today,spam
I will come later,ham
Free trial available,spam
Come and join us,ham
Win instant cash,spam
Are you coming?,ham
Special offer today,spam
Let’s pray,ham
Claim free reward,spam
I am coding,ham
You won’t believe this offer,spam
See you later,ham
Limited deal,spam
I need help,ham
Click to win,spam
Let’s eat,ham
Earn big money,spam
I will study now,ham
Free bonus inside,spam
Call me now,ham
Win now!!!,spam
